PID,Cond,Ch,HbO_beta,HbR_beta
HS,left,S3-D2,9.89547819752939e-06,-5.90404010076229e-08
HS,left,S4-D2,7.34048300588455e-06,-1.27083327358222e-06
HS,left,S4-D3,8.43729908083497e-07,1.25111660357903e-06
HS,left,S5-D3,6.48633001516846e-06,-1.707346858053e-06
HS,left,S3-D4,2.82616050898554e-06,4.43488759379844e-07
HS,left,S4-D4,6.90730080203318e-06,3.19937491635536e-07
HS,left,S5-D4,5.78480840473431e-06,-2.11976920666327e-06
HS,left,S8-D5,1.2361654849119e-06,-9.77978709480218e-07
HS,left,S6-D5,1.45585056338571e-06,2.75266781861928e-08
HS,left,S7-D5,-1.37562493768512e-20,-7.54404857481356e-21
HS,left,S9-D6,9.61915696235068e-06,-5.90355490546858e-07
HS,left,S8-D6,2.6237666398551e-08,-9.07839125623879e-07
HS,left,S6-D6,8.15706999975893e-06,-6.37121230817761e-07
HS,left,S10-D7,-1.31272196128379e-06,-1.71682866796222e-06
HS,left,S9-D7,1.18828907601234e-06,1.89355308382825e-06
HS,left,S8-D7,-2.37992910413927e-06,-1.20485387669909e-06
HS,left,S10-D8,3.81237935108009e-06,1.11013177611836e-06
HS,left,S9-D8,7.61240822899678e-06,-1.15903569221378e-07
HS,right,S1-D1,2.90173311692001e-06,4.50963928014455e-06
HS,right,S3-D1,0,0
HS,right,S2-D1,-6.42794461406928e-21,-2.74063291849561e-21
HS,right,S1-D2,1.16969644814407e-05,-2.76488208967166e-06
HS,right,S3-D2,6.63374197447103e-08,1.73964453668476e-06
HS,right,S4-D2,7.90105105672014e-06,3.4274464920221e-09
HS,right,S4-D3,-1.01527756311538e-05,-3.98750402580767e-08
HS,right,S5-D3,1.04162077797772e-05,2.47082210343577e-06
HS,right,S3-D4,1.52890066196716e-07,-1.07497194027369e-06
HS,right,S4-D4,9.09978555977408e-07,-2.44487067667514e-07
HS,right,S5-D4,3.47098540566687e-06,1.01064693224091e-06
HS,right,S8-D5,8.4322607674729e-06,1.73360890814735e-06
HS,right,S6-D5,6.96144200130143e-06,5.58542517498144e-08
HS,right,S7-D5,-9.23581371654614e-21,-7.50824468043776e-21
HS,right,S9-D6,8.16778759479561e-06,-3.28607037796035e-06
HS,right,S8-D6,1.23065871105581e-05,1.10897436654462e-06
HS,right,S6-D6,1.16846807802983e-05,-1.74002169155523e-06
HS,right,S10-D7,2.1159022729023e-06,-1.43441623873855e-06
HS,right,S9-D7,2.82583687823707e-06,2.42962770988669e-08
HS,right,S8-D7,2.88190695356093e-06,2.84693695153136e-07
HS,right,S10-D8,2.99556835004554e-06,6.39100223171709e-07
HS,right,S9-D8,3.85996913558473e-06,-3.20045266971926e-07
JP,left,S1-D1,4.73341944964323e-06,3.8412388384204e-06
JP,left,S3-D1,9.80200751946841e-06,3.19372804751416e-06
JP,left,S2-D1,-3.23726280027618e-20,6.01736920761038e-20
JP,left,S1-D2,-9.62497517461362e-06,2.43366277199052e-06
JP,left,S3-D2,-5.48006319470563e-06,-1.90895970499383e-06
JP,left,S4-D2,-1.29084796718782e-05,5.48839831607081e-06
JP,left,S4-D3,3.6362605670391e-06,6.21606333772401e-06
JP,left,S5-D3,-2.1037384200442e-05,2.27889186720588e-06
JP,left,S3-D4,-1.62834907122455e-05,-3.15217566246655e-06
JP,left,S4-D4,2.0770930968574e-05,-2.46961988516169e-06
JP,left,S5-D4,1.02140627154011e-05,-2.39171248641108e-06
JP,left,S8-D5,-1.01636538744723e-05,1.36244409026947e-06
JP,left,S6-D5,-1.79349074743019e-05,9.81313853950475e-06
JP,left,S7-D5,5.61020167459849e-21,-1.60018682947511e-22
JP,left,S9-D6,-4.13197719852784e-06,1.9037475731726e-06
JP,left,S8-D6,-7.55142067786483e-06,7.06729267547276e-06
JP,left,S6-D6,-1.56294349271029e-05,4.31999598878454e-06
JP,left,S10-D7,-2.82222113740747e-05,2.88132453747248e-06
JP,left,S9-D7,-9.26628249641425e-06,-3.54219513621964e-06
JP,left,S8-D7,-9.06934460720342e-06,2.78306982584e-06
JP,left,S10-D8,-1.37052220767437e-05,-5.81594738374976e-07
JP,left,S9-D8,-2.11036412764382e-05,-8.21873745763943e-07
JP,right,S1-D1,7.53658216073239e-06,-4.05291103191742e-06
JP,right,S3-D1,3.30847105210885e-06,5.00412018999503e-08
JP,right,S2-D1,-3.22215365764417e-20,5.59698979281583e-20
JP,right,S1-D2,1.49721177992795e-05,-7.89437617298446e-06
JP,right,S3-D2,3.67405838054238e-05,-3.23099401828748e-05
JP,right,S4-D2,2.99322616005771e-06,7.49082422364582e-06
JP,right,S4-D3,9.70823724014971e-06,3.65301773979562e-06
JP,right,S5-D3,5.44906689775316e-06,-1.61625435368452e-06
JP,right,S3-D4,1.18159709848244e-05,-6.8145754824196e-06
JP,right,S4-D4,2.40517298769659e-05,-2.89286187457717e-07
JP,right,S5-D4,3.28818961542514e-05,-1.24696159279549e-05
JP,right,S8-D5,1.56924001260333e-05,-1.74471098958411e-06
JP,right,S6-D5,1.37032613754418e-06,-1.87630877074101e-06
JP,right,S7-D5,1.37391183706247e-20,-2.66323630612273e-21
JP,right,S9-D6,7.58089889018739e-07,-3.64549295232333e-06
JP,right,S8-D6,-8.57487382037096e-06,-1.13114443910639e-05
JP,right,S6-D6,-6.51667413836324e-06,-6.08841186857979e-06
JP,right,S10-D7,3.21346716315551e-06,-7.68661311430935e-06
JP,right,S9-D7,1.51106477550443e-05,-7.38359570114132e-06
JP,right,S8-D7,2.09732894377312e-05,-4.67223437209897e-06
JP,right,S10-D8,3.80952508375992e-05,-1.013741044007e-06
JP,right,S9-D8,2.42149894269427e-05,-1.56548733959591e-06
KB,left,S1-D1,9.81721844772048e-09,3.64410029900367e-06
KB,left,S3-D1,3.25880794489938e-06,2.76844905246472e-06
KB,left,S2-D1,-1.03034142382404e-21,-3.85332696125105e-21
KB,left,S1-D2,-2.04328099168833e-06,4.90571042892404e-07
KB,left,S3-D2,-1.67005938320467e-06,9.6873021768471e-06
KB,left,S4-D2,6.23276835690536e-06,-3.181013256817e-06
KB,left,S4-D3,7.89590182432997e-06,-2.58776901919107e-06
KB,left,S5-D3,-1.08089021439449e-06,6.24439734641172e-06
KB,left,S3-D4,-1.55922778831202e-06,3.80223769943749e-06
KB,left,S4-D4,7.65295130094507e-06,-6.81062673508428e-06
KB,left,S5-D4,-2.24379705529701e-06,7.76726977514489e-06
KB,left,S8-D5,-5.32513602022884e-06,-2.19266084313066e-06
KB,left,S6-D5,1.78981943787354e-05,-1.02892330392965e-07
KB,left,S7-D5,-3.43344329822719e-20,-2.83981394897849e-22
KB,left,S9-D6,-6.71890575164322e-06,1.78534113261855e-06
KB,left,S8-D6,-9.58474402343696e-06,8.11768424808006e-06
KB,left,S6-D6,-2.12921731475634e-06,-9.29108438667307e-07
KB,left,S10-D7,-5.54835245865855e-06,-4.86367582961792e-07
KB,left,S9-D7,3.95350526320897e-06,-2.22696959576964e-06
KB,left,S8-D7,-9.11250462794611e-07,1.59552590125535e-06
KB,left,S10-D8,-4.88844468790037e-06,-1.27114616788367e-06
KB,left,S9-D8,3.05862660017402e-06,1.94481714020446e-06
KB,right,S1-D1,-8.46949097093604e-06,3.97206059630634e-06
KB,right,S3-D1,-7.81067689476813e-06,4.25008045217518e-07
KB,right,S2-D1,-1.32686395006268e-21,-7.743766952428e-21
KB,right,S1-D2,-2.84185274081311e-06,1.92980176501685e-06
KB,right,S3-D2,8.00022577284848e-06,1.19441608054433e-06
KB,right,S4-D2,1.19901983770025e-06,1.31387779885592e-06
KB,right,S4-D3,2.67446294009754e-06,-2.38810895253885e-06
KB,right,S5-D3,-2.26914756447515e-07,1.5116117883224e-06
KB,right,S3-D4,3.66553129080697e-06,-2.18326447756025e-06
KB,right,S4-D4,9.5512211250308e-06,-3.65769876662555e-06
KB,right,S5-D4,-3.03018504326242e-06,1.75681910102856e-06
KB,right,S8-D5,3.18045146259624e-06,1.53076060474063e-06
KB,right,S6-D5,-1.4123866336183e-06,3.76951326403241e-06
KB,right,S7-D5,-6.60370276612633e-21,-1.72406558686842e-21
KB,right,S9-D6,-7.16946505507001e-06,3.0411433990489e-06
KB,right,S8-D6,1.14949875731591e-05,-1.48356297656676e-07
KB,right,S6-D6,-9.52380551363942e-07,-8.47567219167502e-07
KB,right,S10-D7,-3.70217250920981e-06,3.02076309904417e-06
KB,right,S9-D7,7.59225106461177e-06,-1.81202149011674e-06
KB,right,S8-D7,5.79151684047963e-06,-1.83388109666487e-06
KB,right,S10-D8,-8.74499024713621e-06,-2.77800487805676e-07
KB,right,S9-D8,-1.62113861934257e-06,1.43523536764477e-06
KK,left,S1-D1,3.99666046934828e-05,-1.43555912301284e-05
KK,left,S3-D1,3.10462571057486e-05,2.65697883505487e-05
KK,left,S2-D1,-5.04453491139216e-20,5.96078220781502e-21
KK,left,S1-D2,-7.13342753277213e-05,1.35577636052026e-06
KK,left,S3-D2,-3.85409158766551e-06,1.03671322431767e-06
KK,left,S4-D2,-7.0358228107757e-06,-1.58842909182863e-05
KK,left,S4-D3,2.44746787093608e-06,-6.35632964006076e-06
