PID,Cond,Ch,HbO_beta,HbR_beta
KB,left,S3-D4,-1.44496137772072e-06,1.12320981034094e-06
KB,left,S4-D4,-2.46034456868744e-07,-2.25059335541121e-06
KB,left,S5-D4,-4.28090828595402e-06,1.88180374649628e-06
KB,left,S8-D5,-9.61202451207121e-06,-1.83459848839728e-06
KB,left,S6-D5,-7.89150749934204e-06,-2.71021741031237e-06
KB,left,S7-D5,-6.37384976935872e-21,-3.57757155958576e-22
KB,left,S9-D6,-4.14195307737863e-06,2.32604995497579e-08
KB,left,S8-D6,-3.69578041251165e-06,-7.6863975660097e-06
KB,left,S6-D6,-3.80912848184162e-06,-2.41960665635569e-06
KB,left,S10-D7,-4.64498605940681e-06,-2.18742762414685e-08
KB,left,S9-D7,1.69525040740834e-06,-1.97373229094414e-06
KB,left,S8-D7,-5.8854185711243e-06,1.54154811322438e-06
KB,left,S10-D8,-2.16827018518793e-06,-2.11583147214785e-06
KB,left,S9-D8,1.19372238045333e-06,9.63935096800858e-07
KB,right,S1-D1,3.76120251923691e-06,-2.54608591685465e-07
KB,right,S3-D1,-7.04690369721733e-06,-1.33094536983101e-06
KB,right,S2-D1,9.72857960870598e-22,-7.0633711506591e-22
KB,right,S1-D2,8.09647791586659e-08,1.479002846972e-06
KB,right,S3-D2,-1.00407805107918e-06,-7.50937767601115e-07
KB,right,S4-D2,-1.14929962016704e-07,8.46128453396615e-07
KB,right,S4-D3,9.04227252091429e-08,-1.15419421523826e-06
KB,right,S5-D3,-3.25127551195443e-06,3.4751962351189e-07
KB,right,S3-D4,3.52734538610571e-06,-9.24556036790873e-07
KB,right,S4-D4,2.54201655983558e-06,-1.51462249221724e-06
KB,right,S5-D4,-4.43511879505893e-06,1.02361023291394e-06
KB,right,S8-D5,-2.30159025483591e-06,5.6184504251614e-07
KB,right,S6-D5,2.64862567203808e-06,-9.98207225540028e-07
KB,right,S7-D5,-1.18119925977529e-20,-7.76418464892349e-22
KB,right,S9-D6,-1.41379028596727e-06,-1.93521561370546e-06
KB,right,S8-D6,-2.53914911741652e-06,-6.90845393311639e-06
KB,right,S6-D6,-1.03802399675961e-06,-1.45327012083712e-06
KB,right,S10-D7,-2.18033153673267e-06,5.12491078276795e-07
KB,right,S9-D7,6.01043474308863e-06,-3.01064108069659e-06
KB,right,S8-D7,1.69000554380143e-06,1.15766779734244e-06
KB,right,S10-D8,-4.10146212050493e-06,-2.50809125850324e-06
KB,right,S9-D8,3.01788394872017e-07,-1.06491817016218e-07
KK,left,S1-D1,1.9050313712745e-05,5.25107706154152e-06
